Index,Date,Sermon Title,Primary Speaker,Service Duration,Preaching Start,Preaching End,Audio Size (MB),Status,Transcript Markdown,Trimmed Audio File,Completed At,GUID
16,2026-05-17,Cut the Weight,Jason Braddock,1:30:00,00:27:20,01:26:45,39.7,SUCCESS,2026-05-17 - Cut the Weight.md,2026-05-17 - Cut the Weight - Preaching.mp3,2026-08-30 22:03:07,https://s3.amazonaws.com/ccstarchives/xml/0517261
17,2026-05-10,Mother's Day Panel,Pastor John,1:30:00,01:17:40,01:28:00,41.4,SUCCESS,2026-05-10 - Mother's Day Panel.md,2026-05-10 - Mother's Day Panel - Preaching.mp3,2026-08-30 22:26:47,https://s3.amazonaws.com/ccstarchives/xml/0510261
18,2026-05-03,You Still Have Time,John C. Wood,1:30:00,01:28:00,01:28:31,40.9,SUCCESS,2026-05-03 - You Still Have Time.md,2026-05-03 - You Still Have Time - Preaching.mp3,2026-08-30 22:32:29,https://s3.amazonaws.com/ccstarchives/xml/0503261
19,2026-04-26,Honest Answers from your Pastor,John C. Wood,1:30:00,00:08:50,01:27:50,42.1,SUCCESS,2026-04-26 - Honest Answers from your Pastor.md,2026-04-26 - Honest Answers from your Pastor - Preaching.mp3,2026-08-30 22:34:45,https://s3.amazonaws.com/ccstarchives/xml/0426261
20,2026-04-19,The God of What Remains,Dave White,1:30:00,00:41:03,01:20:00,44.0,SUCCESS,2026-04-19 - The God of What Remains.md,2026-04-19 - The God of What Remains - Preaching.mp3,2026-09-02 04:21:04,https://s3.amazonaws.com/ccstarchives/xml/0419261
21,2026-04-12,Israel,Amy Bilsland and Kelly Wood,1:30:00,00:39:45,01:30:00,41.2,SUCCESS,2026-04-12 - Israel.md,2026-04-12 - Israel - Preaching.mp3,2026-09-02 05:27:15,https://s3.amazonaws.com/ccstarchives/xml/0412261
22,2026-04-05,In the Likeness of His Resurrection,John C. Wood,1:30:00,00:24:00,01:04:00,34.1,SUCCESS,2026-04-05 - In the Likeness of His Resurrection.md,2026-04-05 - In the Likeness of His Resurrection - Preaching.mp3,2026-09-02 06:32:34,https://s3.amazonaws.com/ccstarchives/xml/0405261
23,2026-03-29,Created for Good Works,John C. Wood,1:30:00,00:32:00,01:20:00,39.5,SUCCESS,2026-03-29 - Created for Good Works.md,2026-03-29 - Created for Good Works - Preaching.mp3,2026-09-02 07:37:32,https://s3.amazonaws.com/ccstarchives/xml/0329261
24,2026-03-22,"People of the Christ, Not the Crowd",John C. Wood,1:30:00,00:46:25,01:33:02,42.8,SUCCESS,"2026-03-22 - People of the Christ, Not the Crowd.md","2026-03-22 - People of the Christ, Not the Crowd - Preaching.mp3",2026-09-02 22:24:32,https://s3.amazonaws.com/ccstarchives/xml/0322261
25,2026-03-15,It's Time to Wake Up,Nick Gilchrist,1:30:00,00:39:22,01:14:30,34.1,SUCCESS,2026-03-15 - It's Time to Wake Up.md,2026-03-15 - It's Time to Wake Up - Preaching.mp3,2026-09-02 22:27:58,https://s3.amazonaws.com/ccstarchives/xml/0315261
26,2026-03-08,American Gospel: The Final Chapter,Jason Braddock,1:30:00,00:59:30,01:11:06,39.2,SUCCESS,2026-03-08 - American Gospel- The Final Chapter.md,2026-03-08 - American Gospel- The Final Chapter - Preaching.mp3,2026-09-02 22:35:14,https://s3.amazonaws.com/ccstarchives/xml/0308261
27,2026-03-01,The Doctrine of Christianity,John C. Wood,1:30:00,00:29:27,01:16:00,41.3,SUCCESS,2026-03-01 - The Doctrine of Christianity.md,2026-03-01 - The Doctrine of Christianity - Preaching.mp3,2026-09-02 22:41:49,https://s3.amazonaws.com/ccstarchives/xml/0301261
28,2026-02-22,The Gospel of Christ,John C. Wood,1:30:00,00:40:55,01:31:42,43.5,SUCCESS,2026-02-22 - The Gospel of Christ.md,2026-02-22 - The Gospel of Christ - Preaching.mp3,2026-09-02 22:49:07,https://s3.amazonaws.com/ccstarchives/xml/0222261
29,2026-02-15,The Crucified Christ,John C. Wood,1:30:00,00:48:00,01:32:25,42.3,SUCCESS,2026-02-15 - The Crucified Christ.md,2026-02-15 - The Crucified Christ - Preaching.mp3,2026-09-02 22:53:15,https://s3.amazonaws.com/ccstarchives/xml/0215261
30,2026-02-08,The Attributes of God,John C. Wood,1:30:00,00:58:08,01:32:38,43.7,SUCCESS,2026-02-08 - The Attributes of God.md,2026-02-08 - The Attributes of God - Preaching.mp3,2026-09-02 22:56:21,https://s3.amazonaws.com/ccstarchives/xml/0208261
31,2026-02-01,The Emergent Gospel,John C. Wood,1:30:00,00:52:40,01:35:22,44.1,SUCCESS,2026-02-01 - The Emergent Gospel.md,2026-02-01 - The Emergent Gospel - Preaching.mp3,2026-09-02 23:01:43,https://s3.amazonaws.com/ccstarchives/xml/0201261
32,2026-01-25,Confident in His Timing,John C. Wood,1:30:00,00:35:00,01:20:30,41.0,SUCCESS,2026-01-25 - Confident in His Timing.md,2026-01-25 - Confident in His Timing - Preaching.mp3,2026-09-02 23:05:40,https://s3.amazonaws.com/ccstarchives/xml/0125261
33,2026-01-18,The Lord Is My Shepherd,Jason Braddock,1:30:00,00:31:50,01:12:37,33.8,SUCCESS,2026-01-18 - The Lord Is My Shepherd.md,2026-01-18 - The Lord Is My Shepherd - Preaching.mp3,2026-09-02 23:10:04,https://s3.amazonaws.com/ccstarchives/xml/0118261
34,2026-01-11,Confident in His Leading,John C. Wood,1:30:00,00:39:50,01:14:22,36.2,SUCCESS,2026-01-11 - Confident in His Leading.md,2026-01-11 - Confident in His Leading - Preaching.mp3,2026-09-02 23:15:18,https://s3.amazonaws.com/ccstarchives/xml/0111261
35,2026-01-04,Confident in His Supply,John C. Wood,1:30:00,00:38:41,01:17:03,38.0,SUCCESS,2026-01-04 - Confident in His Supply.md,2026-01-04 - Confident in His Supply - Preaching.mp3,2026-09-02 23:18:47,https://s3.amazonaws.com/ccstarchives/xml/0104261
36,2025-12-28,Finish the Year With Confidence,John C. Wood,1:30:00,00:32:40,01:08:22,31.5,SUCCESS,2025-12-28 - Finish the Year With Confidence.md,2025-12-28 - Finish the Year With Confidence - Preaching.mp3,2026-09-02 23:23:20,https://s3.amazonaws.com/ccstarchives/xml/1228251
37,2025-12-21,Christmas and Trusting God,John C. Wood,1:30:00,00:35:19,01:06:57,32.2,SUCCESS,2025-12-21 - Christmas and Trusting God.md,2025-12-21 - Christmas and Trusting God - Preaching.mp3,2026-09-02 23:26:25,https://s3.amazonaws.com/ccstarchives/xml/1221251
38,2025-12-14,What Of Your Faith?,John C. Wood,1:30:00,00:33:26,01:11:33,32.8,SUCCESS,2025-12-14 - What Of Your Faith.md,2025-12-14 - What Of Your Faith - Preaching.mp3,2026-09-02 23:32:36,https://s3.amazonaws.com/ccstarchives/xml/1214251
39,2025-12-07,A Legacy of Gratitude,Chris Weeks,1:30:00,00:48:00,01:07:49,39.6,SUCCESS,2025-12-07 - A Legacy of Gratitude.md,2025-12-07 - A Legacy of Gratitude - Preaching.mp3,2026-09-02 23:37:37,https://s3.amazonaws.com/ccstarchives/xml/1207251
40,2025-11-30,Bridging the Gap (Part 3): Pass the Baton,Jason Braddock,1:30:00,00:33:54,01:21:09,37.2,SUCCESS,2025-11-30 - Bridging the Gap (Part 3)- Pass the Baton.md,2025-11-30 - Bridging the Gap (Part 3)- Pass the Baton - Preaching.mp3,2026-09-02 23:42:11,https://s3.amazonaws.com/ccstarchives/xml/1130251
41,2025-11-23,Bridging the Gap (Part 2): Practice Discipleship,Jason Braddock,1:30:00,00:48:00,01:25:35,39.2,SUCCESS,2025-11-23 - Bridging the Gap (Part 2)- Practice Discipleship.md,2025-11-23 - Bridging the Gap (Part 2)- Practice Discipleship - Preaching.mp3,2026-09-02 23:51:33,https://s3.amazonaws.com/ccstarchives/xml/1123251
42,2025-11-16,Bridging the Gap (Part 1): Be Aware of the Gap,Jason Braddock,1:30:00,00:31:48,01:19:40,36.7,SUCCESS,2025-11-16 - Bridging the Gap (Part 1)- Be Aware of the Gap.md,2025-11-16 - Bridging the Gap (Part 1)- Be Aware of the Gap - Preaching.mp3,2026-09-02 23:56:15,https://s3.amazonaws.com/ccstarchives/xml/1116251
43,2025-11-09,Prove It,John C. Wood,1:30:00,00:45:00,01:22:00,41.8,SUCCESS,2025-11-09 - Prove It.md,2025-11-09 - Prove It - Preaching.mp3,2026-09-03 00:00:27,https://s3.amazonaws.com/ccstarchives/xml/1109251
44,2025-11-02,As They Went,John C. Wood,1:30:00,00:45:00,01:28:06,41.2,SUCCESS,2025-11-02 - As They Went.md,2025-11-02 - As They Went - Preaching.mp3,2026-09-03 00:03:55,https://s3.amazonaws.com/ccstarchives/xml/1102251
45,2025-10-26,Blinded by the god of theis world,John C. Wood,1:30:00,00:35:07,01:16:55,35.2,SUCCESS,2025-10-26 - Blinded by the god of theis world.md,2025-10-26 - Blinded by the god of theis world - Preaching.mp3,2026-09-03 00:08:08,https://s3.amazonaws.com/ccstarchives/xml/1026251
46,2025-10-19,The Revealing Nature of Our Storms,John C. Wood,1:30:00,00:37:07,01:28:01,40.2,SUCCESS,2025-10-19 - The Revealing Nature of Our Storms.md,2025-10-19 - The Revealing Nature of Our Storms - Preaching.mp3,2026-09-03 00:13:49,https://s3.amazonaws.com/ccstarchives/xml/1019251
47,2025-10-12,Navigating Bad News,John C. Wood,1:30:00,00:39:59,01:22:43,39.4,SUCCESS,2025-10-12 - Navigating Bad News.md,2025-10-12 - Navigating Bad News - Preaching.mp3,2026-09-03 00:18:53,https://s3.amazonaws.com/ccstarchives/xml/1012251
48,2025-10-05,Your Expectation of God,John C. Wood,1:30:00,00:39:40,01:20:52,40.5,SUCCESS,2025-10-05 - Your Expectation of God.md,2025-10-05 - Your Expectation of God - Preaching.mp3,2026-09-03 00:23:38,https://s3.amazonaws.com/ccstarchives/xml/1005251
49,2025-09-28,For Those Who Live With Great Pain,John C. Wood,1:30:00,00:47:00,01:36:00,45.1,SUCCESS,2025-09-28 - For Those Who Live With Great Pain.md,2025-09-28 - For Those Who Live With Great Pain - Preaching.mp3,2026-09-03 00:36:49,https://s3.amazonaws.com/ccstarchives/xml/0928251
50,2025-09-21,Be Bold,Jason Braddock,1:30:00,00:33:15,01:12:49,33.4,SUCCESS,2025-09-21 - Be Bold.md,2025-09-21 - Be Bold - Preaching.mp3,2026-09-03 00:41:56,https://s3.amazonaws.com/ccstarchives/xml/0921251
51,2025-09-14,"Living In, By, and For the Truth",John C. Wood,1:30:00,00:03:27,00:41:00,28.0,SUCCESS,"2025-09-14 - Living In, By, and For the Truth.md","2025-09-14 - Living In, By, and For the Truth - Preaching.mp3",2026-09-03 00:48:14,https://s3.amazonaws.com/ccstarchives/xml/0914251
52,2025-09-07,When the Free are Bound,John C. Wood,1:30:00,00:37:00,01:24:49,39.5,SUCCESS,2025-09-07 - When the Free are Bound.md,2025-09-07 - When the Free are Bound - Preaching.mp3,2026-09-03 00:54:11,https://s3.amazonaws.com/ccstarchives/xml/0907251
53,2025-08-31,Prayers that Resonate,John C. Wood,1:30:00,00:35:00,01:15:59,36.8,SUCCESS,2025-08-31 - Prayers that Resonate.md,2025-08-31 - Prayers that Resonate - Preaching.mp3,2026-09-03 00:56:59,https://s3.amazonaws.com/ccstarchives/xml/0831251
54,2025-08-24,I Am Christ Chapel - Blake Joyce,Blake Joyce and Zandy Joyce (interviewed by Speaker 1),1:30:00,00:32:20,01:19:23,36.8,SUCCESS,2025-08-24 - I Am Christ Chapel - Blake Joyce.md,2025-08-24 - I Am Christ Chapel - Blake Joyce - Preaching.mp3,2026-09-03 01:02:02,https://s3.amazonaws.com/ccstarchives/xml/0824251
55,2025-08-17,Our Service Unto the Lord,John C. Wood,1:30:00,00:56:00,01:17:28,37.6,SUCCESS,2025-08-17 - Our Service Unto the Lord.md,2025-08-17 - Our Service Unto the Lord - Preaching.mp3,2026-09-03 01:13:33,https://s3.amazonaws.com/ccstarchives/xml/0817251
56,2025-08-10,Christ's Mighty Baptism,John C. Wood,1:30:00,00:43:10,01:15:49,37.9,SUCCESS,2025-08-10 - Christ's Mighty Baptism.md,2025-08-10 - Christ's Mighty Baptism - Preaching.mp3,2026-09-03 01:20:39,https://s3.amazonaws.com/ccstarchives/xml/0810251
57,2025-08-03,Introducing Jesus (Part 9): Son of God - My Friend,Jason Braddock,1:30:00,00:41:59,01:20:40,36.9,SUCCESS,2025-08-03 - Introducing Jesus (Part 9)- Son of God - My Friend.md,2025-08-03 - Introducing Jesus (Part 9)- Son of God - My Friend - Preaching.mp3,2026-09-03 01:23:32,https://s3.amazonaws.com/ccstarchives/xml/0803251
58,2025-07-27,Introducing Jesus (Part 8): My Healer,Jason Braddock,1:30:00,00:55:22,01:36:03,45.4,SUCCESS,2025-07-27 - Introducing Jesus (Part 8)- My Healer.md,2025-07-27 - Introducing Jesus (Part 8)- My Healer - Preaching.mp3,2026-09-03 01:31:43,https://s3.amazonaws.com/ccstarchives/xml/0727251
59,2025-07-20,Introducing Jesus (Part 7): The Missionary,Jason Braddock,1:30:00,00:54:32,01:28:40,40.7,SUCCESS,2025-07-20 - Introducing Jesus (Part 7)- The Missionary.md,2025-07-20 - Introducing Jesus (Part 7)- The Missionary - Preaching.mp3,2026-09-03 01:36:47,https://s3.amazonaws.com/ccstarchives/xml/0720251
60,2025-07-13,Sparring Partner,Lee McBride,1:30:00,00:40:00,01:17:15,39.5,SUCCESS,2025-07-13 - Sparring Partner.md,2025-07-13 - Sparring Partner - Preaching.mp3,2026-09-03 01:40:29,https://s3.amazonaws.com/ccstarchives/xml/0713251
61,2025-07-06,Introducing Jesus (Part 6): My Priority,Jason Braddock,1:30:00,00:56:00,01:14:59,38.5,SUCCESS,2025-07-06 - Introducing Jesus (Part 6)- My Priority.md,2025-07-06 - Introducing Jesus (Part 6)- My Priority - Preaching.mp3,2026-09-03 06:21:22,https://s3.amazonaws.com/ccstarchives/xml/0706251
62,2025-06-29,Introducing Jesus (Part 5): The True Teacher,Jason Braddock,1:30:00,00:38:37,01:21:05,37.3,SUCCESS,2025-06-29 - Introducing Jesus (Part 5)- The True Teacher.md,2025-06-29 - Introducing Jesus (Part 5)- The True Teacher - Preaching.mp3,2026-09-03 02:12:42,https://s3.amazonaws.com/ccstarchives/xml/0629251
63,2025-06-22,Introducing Jesus (Part 4): The Revealed Messiah,Jason Braddock,1:30:00,00:42:00,01:19:53,38.5,SUCCESS,2025-06-22 - Introducing Jesus (Part 4)- The Revealed Messiah.md,2025-06-22 - Introducing Jesus (Part 4)- The Revealed Messiah - Preaching.mp3,2026-09-03 02:31:36,https://s3.amazonaws.com/ccstarchives/xml/0622251
64,2025-06-15,Introducing Jesus (Part 3): The King of Kings,Jason Braddock,1:30:00,00:33:31,01:17:22,35.4,SUCCESS,2025-06-15 - Introducing Jesus (Part 3)- The King of Kings.md,2025-06-15 - Introducing Jesus (Part 3)- The King of Kings - Preaching.mp3,2026-09-03 02:34:11,https://s3.amazonaws.com/ccstarchives/xml/0615251
65,2025-06-08,Introducing Jesus (Part 2): The Lamb of God,Jason Braddock,1:30:00,00:51:06,01:20:45,37.0,SUCCESS,2025-06-08 - Introducing Jesus (Part 2)- The Lamb of God.md,2025-06-08 - Introducing Jesus (Part 2)- The Lamb of God - Preaching.mp3,2026-09-03 02:37:06,https://s3.amazonaws.com/ccstarchives/xml/0608251
66,2025-06-01,Introducing Jesus: The Word of God,Jason Braddock,1:30:00,00:32:36,01:11:30,33.0,SUCCESS,2025-06-01 - Introducing Jesus- The Word of God.md,2025-06-01 - Introducing Jesus- The Word of God - Preaching.mp3,2026-09-03 02:42:02,https://s3.amazonaws.com/ccstarchives/xml/0601251
67,2025-05-25,First Means First,John C. Wood,1:30:00,00:44:30,01:25:02,38.9,SUCCESS,2025-05-25 - First Means First.md,2025-05-25 - First Means First - Preaching.mp3,2026-09-03 02:50:52,https://s3.amazonaws.com/ccstarchives/xml/0525251
68,2025-05-18,I Am Reserved,Jason Braddock,1:30:00,00:45:46,01:20:04,37.0,SUCCESS,2025-05-18 - I Am Reserved.md,2025-05-18 - I Am Reserved - Preaching.mp3,2026-09-03 02:57:12,https://s3.amazonaws.com/ccstarchives/xml/0518251
69,2025-05-11,Desperate Believers,John C. Wood,1:30:00,00:37:00,01:14:10,33.9,SUCCESS,2025-05-11 - Desperate Believers.md,2025-05-11 - Desperate Believers - Preaching.mp3,2026-09-03 02:59:59,https://s3.amazonaws.com/ccstarchives/xml/0511251
70,2025-05-04,By God's Grace,John C. Wood,1:30:00,00:49:17,01:24:47,38.8,SUCCESS,2025-05-04 - By God's Grace.md,2025-05-04 - By God's Grace - Preaching.mp3,2026-09-03 03:05:33,https://s3.amazonaws.com/ccstarchives/xml/0504251
71,2025-04-27,The Greatest Commandment,Chris Weeks,1:30:00,00:40:00,01:18:56,36.2,SUCCESS,2025-04-27 - The Greatest Commandment.md,2025-04-27 - The Greatest Commandment - Preaching.mp3,2026-09-03 03:08:24,https://s3.amazonaws.com/ccstarchives/xml/0427251
72,2025-04-20,The Resurrection and the Responses,John C. Wood,1:30:00,00:40:14,01:25:00,39.2,SUCCESS,2025-04-20 - The Resurrection and the Responses.md,2025-04-20 - The Resurrection and the Responses - Preaching.mp3,2026-09-03 03:14:01,https://s3.amazonaws.com/ccstarchives/xml/0420251
73,2025-04-13,Those Who Leave the Father's House,John C. Wood,1:30:00,00:47:50,01:21:39,37.4,SUCCESS,2025-04-13 - Those Who Leave the Father's House.md,2025-04-13 - Those Who Leave the Father's House - Preaching.mp3,2026-09-03 03:21:47,https://s3.amazonaws.com/ccstarchives/xml/0413251
74,2025-04-06,I Am Christ Chapel - Eric Lamey,Eric Lamey,1:30:00,00:40:00,01:09:49,32.1,SUCCESS,2025-04-06 - I Am Christ Chapel - Eric Lamey.md,2025-04-06 - I Am Christ Chapel - Eric Lamey - Preaching.mp3,2026-09-03 03:27:19,https://s3.amazonaws.com/ccstarchives/xml/0406251
75,2025-03-30,The Glorious Appearing,John C. Wood,1:30:00,00:48:33,01:21:58,38.1,SUCCESS,2025-03-30 - The Glorious Appearing.md,2025-03-30 - The Glorious Appearing - Preaching.mp3,2026-09-03 03:30:56,https://s3.amazonaws.com/ccstarchives/xml/0330251
78,2025-03-23,The Irrevocable Csll,Joe Phillips,1:16:50,00:37:43,01:38:49,46.9,SUCCESS,2025-03-23 - The Irrevocable Csll.md,2025-03-23 - The Irrevocable Csll - Preaching.mp3,2026-09-03 03:48:27,https://s3.amazonaws.com/ccstarchives/xml/0316251
77,2025-03-23,The Buoyancy of the Believer,John C. Wood,1:16:50,00:37:30,01:28:55,40.9,SUCCESS,2025-03-23 - The Buoyancy of the Believer.md,2025-03-23 - The Buoyancy of the Believer - Preaching.mp3,2026-09-03 03:42:30,https://s3.amazonaws.com/ccstarchives/xml/0323251
76,2025-03-23,Revelation (Part 4),John C. Wood,1:30:00,00:00:46,01:06:34,30.9,SUCCESS,2025-03-23 - Revelation (Part 4).md,2025-03-23 - Revelation (Part 4) - Preaching.mp3,2026-09-03 03:37:27,https://s3.amazonaws.com/ccstarchives/xml/0323252
80,2025-03-09,Battling Drift: The Call,John C. Wood,1:16:50,00:32:00,01:16:50,36.3,SUCCESS,2025-03-09 - Battling Drift- The Call.md,2025-03-09 - Battling Drift- The Call - Preaching.mp3,2026-09-03 03:56:56,https://s3.amazonaws.com/ccstarchives/xml/0309251
79,2025-03-09,Revelation (Part 3),Speaker 1,1:16:50,00:16:00,01:07:10,31.1,SUCCESS,2025-03-09 - Revelation (Part 3).md,2025-03-09 - Revelation (Part 3) - Preaching.mp3,2026-09-03 03:53:24,https://s3.amazonaws.com/ccstarchives/xml/0309252
81,2025-03-02,I Am Sent,Jason Braddock,1:16:50,00:45:19,01:20:29,37.9,SUCCESS,2025-03-02 - I Am Sent.md,2025-03-02 - I Am Sent - Preaching.mp3,2026-09-03 04:01:31,https://s3.amazonaws.com/ccstarchives/xml/0302251
83,2025-02-23,Missionary Justin Gilpin,Justin Gilpin,1:16:50,00:41:25,01:11:00,40.5,SUCCESS,2025-02-23 - Missionary Justin Gilpin.md,2025-02-23 - Missionary Justin Gilpin - Preaching.mp3,2026-09-03 04:08:13,https://s3.amazonaws.com/ccstarchives/xml/0223251
82,2025-02-23,Revelation (Part 2),John C. Wood,1:16:50,00:00:04,01:07:20,31.0,SUCCESS,2025-02-23 - Revelation (Part 2).md,2025-02-23 - Revelation (Part 2) - Preaching.mp3,2026-09-03 04:04:23,https://s3.amazonaws.com/ccstarchives/xml/0223252
85,2025-02-16,Battling Drift (Part 4): Mend the Broken,John C. Wood,1:16:50,00:49:00,01:23:52,40.6,SUCCESS,2025-02-16 - Battling Drift (Part 4)- Mend the Broken.md,2025-02-16 - Battling Drift (Part 4)- Mend the Broken - Preaching.mp3,2026-09-03 04:22:29,https://s3.amazonaws.com/ccstarchives/xml/0216251
84,2025-02-16,Revelation (Part 1),John C. Wood,1:16:50,00:32:50,01:16:50,38.6,SUCCESS,2025-02-16 - Revelation (Part 1).md,2025-02-16 - Revelation (Part 1) - Preaching.mp3,2026-09-03 04:15:48,https://s3.amazonaws.com/ccstarchives/xml/0216252
86,2025-02-09,The Last 30 Years,John C. Wood,1:16:50,01:03:02,01:40:11,47.7,SUCCESS,2025-02-09 - The Last 30 Years.md,2025-02-09 - The Last 30 Years - Preaching.mp3,2026-09-03 04:35:42,https://s3.amazonaws.com/ccstarchives/xml/0209251
87,2025-02-02,Disciple the Found,Jason Braddock,1:16:50,00:03:20,00:41:14,20.0,SUCCESS,2025-02-02 - Disciple the Found.md,2025-02-02 - Disciple the Found - Preaching.mp3,2026-09-03 04:41:19,https://s3.amazonaws.com/ccstarchives/xml/0202251
88,2025-01-26,"January 26, 2025",John C. Wood,1:16:50,00:56:00,01:22:00,39.5,SUCCESS,"2025-01-26 - January 26, 2025.md","2025-01-26 - January 26, 2025 - Preaching.mp3",2026-09-03 04:51:10,https://s3.amazonaws.com/ccstarchives/xml/0126251
89,2025-01-19,Battling Drift (Part 3): This Glorious Gospel,John C. Wood,1:16:50,00:40:00,01:14:50,34.8,SUCCESS,2025-01-19 - Battling Drift (Part 3)- This Glorious Gospel.md,2025-01-19 - Battling Drift (Part 3)- This Glorious Gospel - Preaching.mp3,2026-09-03 04:54:06,https://s3.amazonaws.com/ccstarchives/xml/0119251
90,2025-01-12,Battling Drift (Part 2): Missional Drift,John C. Wood,1:16:50,00:42:09,01:20:55,37.2,SUCCESS,2025-01-12 - Battling Drift (Part 2)- Missional Drift.md,2025-01-12 - Battling Drift (Part 2)- Missional Drift - Preaching.mp3,2026-09-03 04:57:23,https://s3.amazonaws.com/ccstarchives/xml/0112251
